Pattern,Board ID,Sensor,Status,Time to Failure (ms),Current,Location,Date,Solution,Voltage,Notes,CV_Post,CF_Post,Tags,CV_Baseline ,CF_Baseline
1,03_01_0001,U1,Not started,,,,,,,,,,,03_01_0001_U1_20240411_CV_0.csv,03_01_0001_U1_20240411_CF_0.csv
1,03_01_0001,U2,Not started,,,,,,,,,,,03_01_0001_U2_20240411_CV_0.csv,03_01_0001_U2_20240411_CF_0.csv
1,03_01_0001,U3,Not started,,,,,,,,,,,03_01_0001_U3_20240411_CV_0.csv,03_01_0001_U3_20240411_CF_0.csv
1,03_01_0001,U4,Not started,,,,,,,,,,,03_01_0001_U4_20240411_CV_0.csv,03_01_0001_U4_20240411_CF_0.csv
1,03_01_0006,U1,Not started,,,,,,,,,,,03_01_0006_U1_20240411_CV_0.csv,03_01_0006_U1_20240411_CF_0.csv
1,03_01_0006,U2,Not started,,,,,,,,,,,03_01_0006_U2_20240411_CV_0.csv,03_01_0006_U2_20240411_CF_0.csv
1,03_01_0006,U3,Not started,,,,,,,,,,,03_01_0006_U3_20240411_CV_0.csv,03_01_0006_U3_20240411_CF_0.csv
1,03_01_0006,U4,Not started,,,,,,,,,,,03_01_0006_U4_20240411_CV_0.csv,03_01_0006_U4_20240411_CF_0.csv
1,03_01_0011,U1,Not started,,,,,,,,,,,03_01_0011_U1_20240411_CV_0.csv,03_01_0011_U1_20240411_CF_0.csv
1,03_01_0011,U2,Not started,,,,,,,,,,,03_01_0011_U2_20240411_CV_0.csv,03_01_0011_U2_20240411_CF_0.csv
1,03_01_0011,U3,Not started,,,,,,,,,,,03_01_0011_U3_20240411_CV_0.csv,03_01_0011_U3_20240411_CF_0.csv
1,03_01_0011,U4,Not started,,,,,,,,,,,03_01_0011_U4_20240411_CV_0.csv,03_01_0011_U4_20240411_CF_0.csv
1,03_01_0016,U1,Not started,,,,,,,,,,,03_01_0016_U1_20240411_CV_0.csv,03_01_0016_U1_20240411_CF_0.csv
1,03_01_0016,U2,Not started,,,,,,,,,,,03_01_0016_U2_20240411_CV_0.csv,03_01_0016_U2_20240411_CF_0.csv
1,03_01_0016,U3,Not started,,,,,,,,,,,03_01_0016_U3_20240411_CV_0.csv,03_01_0016_U3_20240411_CF_0.csv
1,03_01_0016,U4,Not started,,,,,,,,,,,03_01_0016_U4_20240411_CV_0.csv,03_01_0016_U4_20240411_CF_0.csv
1,03_01_0021,U1,Not started,,,,,,,,,,,03_01_0021_U1_20240411_CV_0.csv,03_01_0021_U1_20240411_CF_0.csv
1,03_01_0021,U2,Not started,,,,,,,,,,,03_01_0021_U2_20240411_CV_0.csv,03_01_0021_U2_20240411_CF_0.csv
1,03_01_0021,U3,Not started,,,,,,,,,,,03_01_0021_U3_20240411_CV_0.csv,03_01_0021_U3_20240411_CF_0.csv
1,03_01_0021,U4,Not started,,,,,,,,,,,03_01_0021_U4_20240411_CV_0.csv,03_01_0021_U4_20240411_CF_0.csv
1,03_01_0026,U1,Not started,,,,,,,,,,,03_01_0026_U1_20240411_CV_0.csv,03_01_0026_U1_20240411_CF_0.csv
1,03_01_0026,U2,Not started,,,,,,,,,,,03_01_0026_U2_20240411_CV_0.csv,03_01_0026_U2_20240411_CF_0.csv
1,03_01_0026,U3,Not started,,,,,,,,,,,03_01_0026_U3_20240411_CV_0.csv,03_01_0026_U3_20240411_CF_0.csv
1,03_01_0026,U4,Not started,,,,,,,,,,,03_01_0026_U4_20240411_CV_0.csv,03_01_0026_U4_20240411_CF_0.csv
1,03_01_0031,U1,Measure/Scanned,24228,,CREOL-A112,,DI Water,5,,,,,03_01_0031_U1_20240411_CV_0.csv,03_01_0031_U1_20240411_CF_0.csv
1,03_01_0031,U2,Measure/Scanned,26460,,CREOL-A112,,DI Water,5,,,,,03_01_0031_U2_20240411_CV_0.csv,03_01_0031_U2_20240411_CF_0.csv
1,03_01_0031,U3,Measure/Scanned,26520,,CREOL-A112,,DI Water,5,,,,,03_01_0031_U3_20240411_CV_0.csv,03_01_0031_U3_20240411_CF_0.csv
1,03_01_0031,U4,Measure/Scanned,29032,,CREOL-A112,,DI Water,5,,,,,03_01_0031_U4_20240411_CV_0.csv,03_01_0031_U4_20240411_CF_0.csv
1,03_01_0036,U2,Measure/Scanned,28888,0.0054,CREOL-A112,10/2/2024,DI Water,5,,,,,03_01_0036_U2_20240411_CV_0.csv,03_01_0036_U2_20240411_CF_0.csv
1,03_01_0036,U3,Measure/Scanned,28939,0.0099,CREOL-A112,10/2/2024,DI Water,5,,,,,03-01-0036_U3_20240411_CV_0.csv,03-01-0036_U3_20240411_CF_0.csv
1,03_01_0036,U4,Measure/Scanned,41796,0.0054,CREOL-A112,10/2/2024,DI Water,5,,,,,03_01_0036_U4_20240411_CV_0.csv,03_01_0036_U4_20240411_CF_0.csv
1,03_01_0036,U1,Measure/Scanned,33541,,CREOL-A112,10/2/2024,DI Water,5,,,,,03_01_0036_U1_20240411_CV_0.csv,03_01_0036_U1_20240411_CF_0.csv
1,03_01_0041,U1,Failed,98109,03_01_0041_U1_20250505_i.csv,R1-379,5/5/2025,Adipic Acid - 1.24mM,3,3.89 final,,,,03_01_0041_U1_20240411_CV_0.csv,03_01_0041_U1_20240411_CF_0.csv
1,03_01_0041,U2,Failed,84786,03_01_0041_U2_20250505_i.csv,R1-379,5/5/2025,Adipic Acid - 1.24mM,3,,,,,03_01_0041_U2_20240411_CV_0.csv,03_01_0041_U2_20240411_CF_0.csv
1,03_01_0041,U3,Failed,85579,03_01_0041_U3_20250505_i.csv,R1-379,5/5/2025,Adipic Acid - 1.24mM,3,,,,,03_01_0041_U3_20240411_CV_0.csv,03_01_0041_U3_20240411_CF_0.csv
1,03_01_0041,U4,Failed,75816,03_01_0041_U4_20250505_i.csv,R1-379,5/5/2025,Adipic Acid - 1.24mM,3,4.02 start,,,,03_01_0041_U4_20240411_CV_0.csv,03_01_0041_U4_20240411_CF_0.csv
1,03_01_0046,U1,Failed,57093,03_01_0046_U1_20250416_I.csv,R1-379,4/16/2025,Succinic 0.388mM,3,4.26,,,,03_01_0046_U1_20240411_CV_0.csv,03_01_0046_U1_20240411_CF_0.csv
1,03_01_0046,U2,Failed,75845,03_01_0046_U2_20250416_I.csv,R1-379,4/16/2025,Succinic 0.388mM,3,,,,,03_01_0046_U2_20240411_CV_0.csv,03_01_0046_U2_20240411_CF_0.csv
1,03_01_0046,U3,Failed,49974,03_01_0046_U3_20250416_I.csv,R1-379,4/16/2025,Succinic 0.388mM,3,,,,,03_01_0046_U3_20240411_CV_0.csv,03_01_0046_U3_20240411_CF_0.csv
1,03_01_0046,U4,Failed,104035,03_01_0046_U4_20250416_I.csv,R1-379,4/16/2025,Succinic 0.388mM,3,4.1,,,,03_01_0046_U4_20240411_CV_0.csv,03_01_0046_U4_20240411_CF_0.csv
1,03_01_0051,U1,Not started,,,,,,,,,,,03_01_0051_U1_20240411_CV_0.csv,03_01_0051_U1_20240411_CF_0.csv
1,03_01_0051,U2,Not started,,,,,,,,,,,03_01_0051_U2_20240411_CV_0.csv,03_01_0051_U2_20240411_CF_0.csv
1,03_01_0051,U3,Not started,,,,,,,,,,,03_01_0051_U3_20240411_CV_0.csv,03_01_0051_U3_20240411_CF_0.csv
1,03_01_0051,U4,Not started,,,,,,,,,,,03_01_0051_U4_20240411_CV_0.csv,03_01_0051_U4_20240411_CF_0.csv
